,precision,recall,f1-score,support
0,0.25,0.5714285714285714,0.34782608695652173,21.0
1,0.2857142857142857,0.37037037037037035,0.3225806451612903,27.0
2,0.5,0.5,0.5,14.0
3,0.5,0.4,0.4444444444444444,10.0
4,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
5,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
6,0.24,0.46153846153846156,0.3157894736842105,13.0
7,0.2692307692307692,0.7777777777777778,0.4,9.0
8,0.0,0.0,0.0,6.0
9,0.5,0.2857142857142857,0.36363636363636365,7.0
a,0.84,0.7394366197183099,0.7865168539325843,142.0
b,0.21428571428571427,0.4838709677419355,0.297029702970297,31.0
c,0.8421052631578947,0.5818181818181818,0.6881720430107527,55.0
d,0.37037037037037035,0.425531914893617,0.39603960396039606,47.0
e,0.8611111111111112,0.6888888888888889,0.7654320987654321,135.0
f,0.4838709677419355,0.6521739130434783,0.5555555555555556,23.0
g,0.5714285714285714,0.6666666666666666,0.6153846153846154,36.0
h,0.7297297297297297,0.5510204081632653,0.627906976744186,49.0
i,0.7419354838709677,0.5348837209302325,0.6216216216216216,86.0
j,0.12162162162162163,0.4090909090909091,0.1875,22.0
k,0.6,0.72,0.6545454545454545,25.0
l,0.8333333333333334,0.813953488372093,0.8235294117647058,43.0
m,0.4426229508196721,0.7105263157894737,0.5454545454545454,38.0
n,0.8688524590163934,0.53,0.6583850931677019,100.0
o,0.8032786885245902,0.46226415094339623,0.5868263473053892,106.0
p,0.5625,0.6923076923076923,0.6206896551724138,39.0
q,0.19444444444444445,0.3888888888888889,0.25925925925925924,18.0
r,0.7083333333333334,0.49514563106796117,0.5828571428571429,103.0
s,0.8695652173913043,0.6451612903225806,0.7407407407407407,93.0
t,0.8194444444444444,0.6941176470588235,0.7515923566878981,85.0
u,0.2916666666666667,0.5185185185185185,0.37333333333333335,27.0
v,0.9375,0.6521739130434783,0.7692307692307693,23.0
w,0.8571428571428571,0.5714285714285714,0.6857142857142857,21.0
x,0.3235294117647059,0.4782608695652174,0.38596491228070173,23.0
y,0.4375,0.6363636363636364,0.5185185185185185,22.0
z,0.2857142857142857,0.3333333333333333,0.3076923076923077,18.0
accuracy,0.5886939571150097,0.5886939571150097,0.5886939571150097,0.5886939571150097
macro avg,0.54424248379879,0.5460091894017731,0.522287064503265,1539.0
weighted avg,0.6810222636957861,0.5886939571150097,0.615142896341102,1539.0
