,precision,recall,f1-score,support
0,0.21739130434782608,0.47619047619047616,0.29850746268656714,21.0
1,0.30303030303030304,0.37037037037037035,0.3333333333333333,27.0
2,0.35294117647058826,0.42857142857142855,0.3870967741935484,14.0
3,0.3076923076923077,0.4,0.34782608695652173,10.0
4,0.5,0.4444444444444444,0.47058823529411764,9.0
5,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
6,0.25,0.46153846153846156,0.32432432432432434,13.0
7,0.2413793103448276,0.7777777777777778,0.3684210526315789,9.0
8,1.0,0.16666666666666666,0.2857142857142857,6.0
9,0.4,0.2857142857142857,0.3333333333333333,7.0
a,0.824,0.7253521126760564,0.7715355805243446,142.0
b,0.2033898305084746,0.3870967741935484,0.26666666666666666,31.0
c,0.7142857142857143,0.6363636363636364,0.6730769230769231,55.0
d,0.3333333333333333,0.40425531914893614,0.36538461538461536,47.0
e,0.8679245283018868,0.6814814814814815,0.7634854771784232,135.0
f,0.5,0.6521739130434783,0.5660377358490566,23.0
g,0.42,0.5833333333333334,0.4883720930232558,36.0
h,0.7272727272727273,0.4897959183673469,0.5853658536585366,49.0
i,0.7213114754098361,0.5116279069767442,0.5986394557823129,86.0
j,0.15714285714285714,0.5,0.2391304347826087,22.0
k,0.5555555555555556,0.6,0.5769230769230769,25.0
l,0.8372093023255814,0.8372093023255814,0.8372093023255814,43.0
m,0.43137254901960786,0.5789473684210527,0.4943820224719101,38.0
n,0.8142857142857143,0.57,0.6705882352941176,100.0
o,0.7424242424242424,0.46226415094339623,0.5697674418604651,106.0
p,0.49122807017543857,0.717948717948718,0.5833333333333334,39.0
q,0.15555555555555556,0.3888888888888889,0.2222222222222222,18.0
r,0.7183098591549296,0.49514563106796117,0.5862068965517241,103.0
s,0.855072463768116,0.6344086021505376,0.7283950617283951,93.0
t,0.7532467532467533,0.6823529411764706,0.7160493827160493,85.0
u,0.45714285714285713,0.5925925925925926,0.5161290322580645,27.0
v,0.9375,0.6521739130434783,0.7692307692307693,23.0
w,0.9166666666666666,0.5238095238095238,0.6666666666666666,21.0
x,0.3333333333333333,0.43478260869565216,0.37735849056603776,23.0
y,0.5,0.5909090909090909,0.5416666666666666,22.0
z,0.26666666666666666,0.2222222222222222,0.24242424242424243,18.0
accuracy,0.5763482781026641,0.5763482781026641,0.5763482781026641,0.5763482781026641
macro avg,0.5437748674081242,0.5315455730634557,0.5092950926906792,1539.0
weighted avg,0.6596421399508093,0.5763482781026641,0.6004426023353919,1539.0
