,precision,recall,f1-score,support
0,0.25925925925925924,0.3333333333333333,0.2916666666666667,21.0
1,0.1875,0.1111111111111111,0.13953488372093023,27.0
2,1.0,0.5,0.6666666666666666,14.0
3,1.0,0.1,0.18181818181818182,10.0
4,1.0,0.4444444444444444,0.6153846153846154,9.0
5,0.7142857142857143,0.38461538461538464,0.5,13.0
6,0.3333333333333333,0.23076923076923078,0.2727272727272727,13.0
7,0.5454545454545454,0.6666666666666666,0.6,9.0
8,0.0,0.0,0.0,6.0
9,0.5,0.14285714285714285,0.2222222222222222,7.0
a,0.7687074829931972,0.795774647887324,0.7820069204152249,142.0
b,0.23529411764705882,0.12903225806451613,0.16666666666666666,31.0
c,0.7608695652173914,0.6363636363636364,0.693069306930693,55.0
d,0.34285714285714286,0.2553191489361702,0.2926829268292683,47.0
e,0.668918918918919,0.7333333333333333,0.6996466431095406,135.0
f,0.5789473684210527,0.4782608695652174,0.5238095238095238,23.0
g,0.38461538461538464,0.1388888888888889,0.20408163265306123,36.0
h,0.4878048780487805,0.40816326530612246,0.4444444444444444,49.0
i,0.4768211920529801,0.8372093023255814,0.6075949367088608,86.0
j,0.375,0.13636363636363635,0.2,22.0
k,0.45454545454545453,0.2,0.2777777777777778,25.0
l,0.6470588235294118,0.7674418604651163,0.7021276595744681,43.0
m,0.6666666666666666,0.5263157894736842,0.5882352941176471,38.0
n,0.5555555555555556,0.65,0.5990783410138248,100.0
o,0.4198895027624309,0.7169811320754716,0.5296167247386759,106.0
p,0.75,0.6153846153846154,0.676056338028169,39.0
q,0.0,0.0,0.0,18.0
r,0.5275590551181102,0.6504854368932039,0.5826086956521739,103.0
s,0.6764705882352942,0.7419354838709677,0.7076923076923077,93.0
t,0.6666666666666666,0.7764705882352941,0.717391304347826,85.0
u,0.3684210526315789,0.25925925925925924,0.30434782608695654,27.0
v,0.7777777777777778,0.6086956521739131,0.6829268292682927,23.0
w,0.9,0.42857142857142855,0.5806451612903226,21.0
x,0.5,0.21739130434782608,0.30303030303030304,23.0
y,0.625,0.45454545454545453,0.5263157894736842,22.0
z,0.6,0.16666666666666666,0.2608695652173913,18.0
accuracy,0.5743989603638726,0.5743989603638726,0.5743989603638726,0.5743989603638726
macro avg,0.5487577790720474,0.42340697146651785,0.4484095396689905,1539.0
weighted avg,0.5725214082115141,0.5743989603638726,0.5536159570760684,1539.0
