,precision,recall,f1-score,support
0,0.2857142857142857,0.38095238095238093,0.32653061224489793,21.0
1,0.1875,0.1111111111111111,0.13953488372093023,27.0
2,0.875,0.5,0.6363636363636364,14.0
3,1.0,0.2,0.3333333333333333,10.0
4,1.0,0.4444444444444444,0.6153846153846154,9.0
5,0.75,0.46153846153846156,0.5714285714285714,13.0
6,0.375,0.23076923076923078,0.2857142857142857,13.0
7,0.5454545454545454,0.6666666666666666,0.6,9.0
8,0.0,0.0,0.0,6.0
9,0.6666666666666666,0.2857142857142857,0.4,7.0
a,0.785234899328859,0.823943661971831,0.8041237113402062,142.0
b,0.3333333333333333,0.16129032258064516,0.21739130434782608,31.0
c,0.7647058823529411,0.7090909090909091,0.7358490566037735,55.0
d,0.3611111111111111,0.2765957446808511,0.3132530120481928,47.0
e,0.7214285714285714,0.7481481481481481,0.7345454545454545,135.0
f,0.6470588235294118,0.4782608695652174,0.55,23.0
g,0.375,0.16666666666666666,0.23076923076923078,36.0
h,0.6486486486486487,0.4897959183673469,0.5581395348837209,49.0
i,0.515625,0.7674418604651163,0.616822429906542,86.0
j,0.5,0.18181818181818182,0.26666666666666666,22.0
k,0.5,0.32,0.3902439024390244,25.0
l,0.6415094339622641,0.7906976744186046,0.7083333333333334,43.0
m,0.6944444444444444,0.6578947368421053,0.6756756756756757,38.0
n,0.6106194690265486,0.69,0.647887323943662,100.0
o,0.4484848484848485,0.6981132075471698,0.5461254612546126,106.0
p,0.6756756756756757,0.6410256410256411,0.6578947368421053,39.0
q,0.0,0.0,0.0,18.0
r,0.5419847328244275,0.6893203883495146,0.6068376068376068,103.0
s,0.6909090909090909,0.8172043010752689,0.7487684729064039,93.0
t,0.68,0.8,0.7351351351351352,85.0
u,0.4090909090909091,0.3333333333333333,0.3673469387755102,27.0
v,0.6666666666666666,0.6086956521739131,0.6363636363636364,23.0
w,0.9090909090909091,0.47619047619047616,0.625,21.0
x,0.45454545454545453,0.21739130434782608,0.29411764705882354,23.0
y,0.5,0.4090909090909091,0.45,22.0
z,0.6,0.16666666666666666,0.2608695652173913,18.0
accuracy,0.6023391812865497,0.6023391812865497,0.6023391812865497,0.6023391812865497
macro avg,0.5655695389524893,0.45555203210035905,0.48017916041902226,1539.0
weighted avg,0.5960451191264526,0.6023391812865497,0.5835890356660047,1539.0
