,precision,recall,f1-score,support
0,0.625,0.23809523809523808,0.3448275862068966,21.0
1,0.4444444444444444,0.14814814814814814,0.2222222222222222,27.0
2,0.38461538461538464,0.35714285714285715,0.37037037037037035,14.0
3,0.75,0.3,0.42857142857142855,10.0
4,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
5,0.5833333333333334,0.5384615384615384,0.56,13.0
6,1.0,0.38461538461538464,0.5555555555555556,13.0
7,0.75,0.6666666666666666,0.7058823529411765,9.0
8,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
9,0.0,0.0,0.0,7.0
a,0.5728155339805825,0.8309859154929577,0.6781609195402298,142.0
b,0.5,0.06451612903225806,0.11428571428571428,31.0
c,0.7755102040816326,0.6909090909090909,0.7307692307692307,55.0
d,0.625,0.3191489361702128,0.4225352112676056,47.0
e,0.5492227979274611,0.7851851851851852,0.6463414634146342,135.0
f,1.0,0.2608695652173913,0.41379310344827586,23.0
g,0.6153846153846154,0.2222222222222222,0.32653061224489793,36.0
h,0.75,0.42857142857142855,0.5454545454545454,49.0
i,0.6228070175438597,0.8255813953488372,0.71,86.0
j,0.6666666666666666,0.09090909090909091,0.16,22.0
k,0.6,0.6,0.6,25.0
l,0.7142857142857143,0.813953488372093,0.7608695652173914,43.0
m,0.5277777777777778,0.5,0.5135135135135135,38.0
n,0.5294117647058824,0.72,0.6101694915254238,100.0
o,0.5594405594405595,0.7547169811320755,0.642570281124498,106.0
p,0.8214285714285714,0.5897435897435898,0.6865671641791045,39.0
q,0.23076923076923078,0.16666666666666666,0.1935483870967742,18.0
r,0.6,0.6116504854368932,0.6057692307692307,103.0
s,0.628099173553719,0.8172043010752689,0.7102803738317757,93.0
t,0.7142857142857143,0.8235294117647058,0.7650273224043715,85.0
u,0.6666666666666666,0.2962962962962963,0.41025641025641024,27.0
v,0.6842105263157895,0.5652173913043478,0.6190476190476191,23.0
w,0.5,0.47619047619047616,0.4878048780487805,21.0
x,0.8333333333333334,0.21739130434782608,0.3448275862068966,23.0
y,0.7,0.3181818181818182,0.4375,22.0
z,0.7,0.3888888888888889,0.5,18.0
accuracy,0.6068875893437297,0.6068875893437297,0.6068875893437297,0.6068875893437297
macro avg,0.6219771027002112,0.4592745031614354,0.49199836190009616,1539.0
weighted avg,0.620220990854174,0.6068875893437297,0.5801445983613948,1539.0
