,precision,recall,f1-score,support
0,0.3888888888888889,0.3333333333333333,0.358974358974359,21.0
1,0.38461538461538464,0.18518518518518517,0.25,27.0
2,0.875,0.5,0.6363636363636364,14.0
3,0.6,0.3,0.4,10.0
4,1.0,0.4444444444444444,0.6153846153846154,9.0
5,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
6,0.75,0.46153846153846156,0.5714285714285714,13.0
7,0.6,0.6666666666666666,0.631578947368421,9.0
8,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
9,1.0,0.14285714285714285,0.25,7.0
a,0.6564102564102564,0.9014084507042254,0.7596439169139466,142.0
b,0.75,0.0967741935483871,0.17142857142857143,31.0
c,0.7857142857142857,0.8,0.7927927927927928,55.0
d,0.6190476190476191,0.2765957446808511,0.38235294117647056,47.0
e,0.6851851851851852,0.8222222222222222,0.7474747474747475,135.0
f,0.7,0.30434782608695654,0.42424242424242425,23.0
g,0.7857142857142857,0.3055555555555556,0.44,36.0
h,0.7105263157894737,0.5510204081632653,0.6206896551724138,49.0
i,0.5982142857142857,0.7790697674418605,0.6767676767676768,86.0
j,0.3,0.13636363636363635,0.1875,22.0
k,0.9166666666666666,0.44,0.5945945945945946,25.0
l,0.6610169491525424,0.9069767441860465,0.7647058823529411,43.0
m,0.7272727272727273,0.631578947368421,0.676056338028169,38.0
n,0.6272727272727273,0.69,0.6571428571428571,100.0
o,0.5534591194968553,0.8301886792452831,0.6641509433962264,106.0
p,0.7352941176470589,0.6410256410256411,0.684931506849315,39.0
q,0.3125,0.2777777777777778,0.29411764705882354,18.0
r,0.6016949152542372,0.6893203883495146,0.6425339366515838,103.0
s,0.6942148760330579,0.9032258064516129,0.7850467289719626,93.0
t,0.5833333333333334,0.7411764705882353,0.6528497409326425,85.0
u,0.4,0.2222222222222222,0.2857142857142857,27.0
v,0.8888888888888888,0.6956521739130435,0.7804878048780488,23.0
w,0.9,0.42857142857142855,0.5806451612903226,21.0
x,0.75,0.2608695652173913,0.3870967741935484,23.0
y,0.8181818181818182,0.4090909090909091,0.5454545454545454,22.0
z,0.75,0.16666666666666666,0.2727272727272727,18.0
accuracy,0.6432748538011696,0.6432748538011696,0.6432748538011696,0.6432748538011696
macro avg,0.6713810751912677,0.4923271594866019,0.5298268823504078,1539.0
weighted avg,0.6547173792561648,0.6432748538011696,0.618269148814477,1539.0
