,precision,recall,f1-score,support
0,0.0,0.0,0.0,21.0
1,0.0,0.0,0.0,27.0
2,0.03614457831325301,0.21428571428571427,0.061855670103092786,14.0
3,0.02654867256637168,0.3,0.04878048780487805,10.0
4,0.031578947368421054,0.3333333333333333,0.057692307692307696,9.0
5,0.043478260869565216,0.3076923076923077,0.0761904761904762,13.0
6,0.039473684210526314,0.23076923076923078,0.06741573033707865,13.0
7,0.0945945945945946,0.7777777777777778,0.1686746987951807,9.0
8,0.011363636363636364,0.16666666666666666,0.02127659574468085,6.0
9,0.018691588785046728,0.2857142857142857,0.03508771929824561,7.0
a,0.5689655172413793,0.2323943661971831,0.33,142.0
b,0.0625,0.06451612903225806,0.06349206349206349,31.0
c,0.13043478260869565,0.05454545454545454,0.07692307692307693,55.0
d,0.0,0.0,0.0,47.0
e,0.52,0.0962962962962963,0.1625,135.0
f,0.05128205128205128,0.08695652173913043,0.06451612903225806,23.0
g,0.0,0.0,0.0,36.0
h,0.12,0.061224489795918366,0.08108108108108109,49.0
i,0.5,0.03488372093023256,0.06521739130434782,86.0
j,0.045454545454545456,0.09090909090909091,0.06060606060606061,22.0
k,0.11764705882352941,0.16,0.13559322033898305,25.0
l,0.16666666666666666,0.06976744186046512,0.09836065573770492,43.0
m,0.1590909090909091,0.18421052631578946,0.17073170731707318,38.0
n,0.6363636363636364,0.07,0.12612612612612611,100.0
o,0.75,0.05660377358490566,0.10526315789473684,106.0
p,0.21052631578947367,0.10256410256410256,0.13793103448275862,39.0
q,0.029411764705882353,0.16666666666666666,0.05,18.0
r,0.75,0.02912621359223301,0.056074766355140186,103.0
s,0.3939393939393939,0.13978494623655913,0.20634920634920634,93.0
t,0.35714285714285715,0.058823529411764705,0.10101010101010101,85.0
u,0.020833333333333332,0.037037037037037035,0.02666666666666667,27.0
v,0.14634146341463414,0.2608695652173913,0.1875,23.0
w,0.10526315789473684,0.19047619047619047,0.13559322033898305,21.0
x,0.0,0.0,0.0,23.0
y,0.0,0.0,0.0,22.0
z,0.015384615384615385,0.05555555555555555,0.024096385542168676,18.0
accuracy,0.10006497725795971,0.10006497725795971,0.10006497725795971,0.10006497725795971
macro avg,0.1710867231168821,0.13665141483898727,0.0834057149045688,1539.0
weighted avg,0.34635307572514623,0.10006497725795971,0.11634134327021294,1539.0
