,precision,recall,f1-score,support
0,0.27450980392156865,0.6666666666666666,0.3888888888888889,21.0
1,0.2857142857142857,0.37037037037037035,0.3225806451612903,27.0
2,0.5833333333333334,0.5,0.5384615384615384,14.0
3,0.6666666666666666,0.4,0.5,10.0
4,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
5,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
6,0.24,0.46153846153846156,0.3157894736842105,13.0
7,0.28,0.7777777777777778,0.4117647058823529,9.0
8,0.0,0.0,0.0,6.0
9,0.5,0.2857142857142857,0.36363636363636365,7.0
a,0.8188976377952756,0.7323943661971831,0.7732342007434945,142.0
b,0.23529411764705882,0.5161290322580645,0.32323232323232326,31.0
c,0.825,0.6,0.6947368421052632,55.0
d,0.3333333333333333,0.40425531914893614,0.36538461538461536,47.0
e,0.8545454545454545,0.6962962962962963,0.7673469387755102,135.0
f,0.5,0.6521739130434783,0.5660377358490566,23.0
g,0.46153846153846156,0.6666666666666666,0.5454545454545454,36.0
h,0.7105263157894737,0.5510204081632653,0.6206896551724138,49.0
i,0.734375,0.5465116279069767,0.6266666666666667,86.0
j,0.13333333333333333,0.36363636363636365,0.1951219512195122,22.0
k,0.6,0.72,0.6545454545454545,25.0
l,0.813953488372093,0.813953488372093,0.813953488372093,43.0
m,0.41935483870967744,0.6842105263157895,0.52,38.0
n,0.864406779661017,0.51,0.6415094339622641,100.0
o,0.8245614035087719,0.44339622641509435,0.5766871165644172,106.0
p,0.574468085106383,0.6923076923076923,0.627906976744186,39.0
q,0.18421052631578946,0.3888888888888889,0.25,18.0
r,0.704225352112676,0.4854368932038835,0.5747126436781609,103.0
s,0.8356164383561644,0.6559139784946236,0.7349397590361446,93.0
t,0.7763157894736842,0.6941176470588235,0.7329192546583851,85.0
u,0.28,0.5185185185185185,0.36363636363636365,27.0
v,0.9375,0.6521739130434783,0.7692307692307693,23.0
w,0.8461538461538461,0.5238095238095238,0.6470588235294118,21.0
x,0.3333333333333333,0.4782608695652174,0.39285714285714285,23.0
y,0.4375,0.6363636363636364,0.5185185185185185,22.0
z,0.3125,0.2777777777777778,0.29411764705882354,18.0
accuracy,0.5860948667966212,0.5860948667966212,0.5860948667966212,0.5860948667966212
macro avg,0.5449184739060865,0.5438876763665292,0.520394016257619,1539.0
weighted avg,0.6718638483264372,0.5860948667966212,0.6086367979163687,1539.0
